Filename,Actual word
Image 1.png,Россия
Image 2.png,самая
Image 3.png,большая
Image 4.png,страна
Image 8.png,пространстве
Image 9.png,Восточной
Image 10.png,Европы
Image 11.png,Северной
Image 15.png,более
Image 16.png,семнадцати
Image 17.png,миллионов
Image 22.png,часовых
Image 23.png,поясов
Image 24.png,Этот
Image 25.png,огромный
Image 136.png,внутренним
Image 137.png,террором
Image 138.png,заложило
Image 139.png,основы
Image 140.png,автократического
Image 141.png,стиля
Image 142.png,правления
Image 192.png,ценой
Image 193.png,социальных
Image 194.png,потрясений
Image 195.png,течение
Image 211.png,индустриализировалась
Image 246.png,военным
Image 247.png,потерям
Image 248.png,экономическому
Image 249.png,краху
Image 250.png,массовому
Image 251.png,голоду
Image 252.png,революции
Image 428.png,переходила
Image 429.png,плановой
Image 430.png,экономики
Image 431.png,рыночной
Image 502.png,десятки
Image 503.png,других
Image 504.png,народов
Image 561.png,Чехова
Image 564.png,глубины
Image 570.png,музыке
Image 571.png,Чайковский
Image 572.png,Рахманинов
Image 573.png,Стравинский
Image 574.png,оставили
Image 575.png,неизгладимый
Image 576.png,след
Image 832.png,научноисследовательскими
Image 1023.png,Диверсификация
Image 1065.png,через
Image 1554.png,не
Image 1660.png,вызовов
Image 1858.png,по
Image 2081.png,устои
Image 2096.png,экспериментировали
Image 2792.png,современнымиАрхитекторы
Image 2794.png,разрабатывают
Image 2795.png,инновационные
Image 2800.png,энергоэффективные
Image 3016.png,же
Image 3043.png,дух
Image 3115.png,город
Image 3121.png,сад
Image 3130.png,мира
Image 3164.png,как
Image 3165.png,окно
Image 3201.png,Иван
Image 3210.png,Невы
Image 3397.png,жизнь
Image 3399.png,кухня
Image 3406.png,всей
Image 3409.png,юге
Image 3416.png,центр
Image 3430.png,вузов
Image 3432.png,междисциплинарным
Image 3471.png,расположенный
Image 3475.png,гор
Image 3478.png,между
Image 3483.png,город
Image 3494.png,имя
Image 3510.png,наук
Image 3561.png,базе
Image 3609.png,один
Image 3623.png,был
Image 3712.png,Новгород
Image 3716.png,Оки
Image 3753.png,привлекательным
Image 3821.png,государственным
Image 3925.png,их
Image 3975.png,студентов
Image 3976.png,учёных
Image 3977.png,раскрывая
Image 3978.png,перед
Image 3979.png,ними
Image 3980.png,новые
Image 3981.png,горизонты
Image 3984.png,самореализации
