file_name,aspect_ratio,solidity,extent,top_width_ratio,hu_moment_1,century,target_shape
cropped_18651_1.jpg,1.12,1.0,0.71,0.35,0.784,21,onion
cropped_18651_2.jpg,1.13,1.0,0.84,0.56,0.7828,21,onion
cropped_18651_3.jpg,1.43,1.0,0.8,0.5,0.7576,21,onion
cropped_09813_1.jpg,0.23,1.0,0.83,0.91,0.426,21,onion
cropped_09813_2.jpg,0.4,1.0,0.73,0.43,0.6001,21,onion
cropped_09813_3.jpg,0.21,1.0,0.77,0.62,0.3627,21,onion
cropped_12123_1.jpg,0.9,1.0,0.72,0.5,0.7514,20,onion
cropped_12123_2.jpg,0.48,1.0,0.67,0.15,0.6752,20,onion
cropped_12123_3.jpg,1.5,1.0,0.81,0.83,0.7576,20,onion
cropped_01820_1.jpg,0.48,1.0,0.67,0.41,0.6044,17,onion
cropped_01820_2.jpg,2.21,1.0,0.72,0.37,0.6271,17,onion
cropped_01820_3.jpg,0.5,1.0,0.63,0.28,0.6151,17,onion
cropped_01830_1.jpg,1.16,1.0,0.64,0.14,0.7581,20,onion
cropped_01830_2.jpg,0.91,1.0,0.65,0.19,0.7601,20,onion
cropped_01830_3.jpg,1.25,1.0,0.68,0.16,0.7534,20,onion
cropped_19843_1.jpg,2.32,1.0,0.76,0.37,0.6264,21,onion
cropped_19843_2.jpg,0.82,1.0,0.62,0.13,0.7421,21,onion
cropped_19843_3.jpg,1.95,1.0,0.7,0.38,0.657,21,onion
cropped_18153_1.jpg,0.49,1.0,0.65,0.33,0.6127,21,onion
cropped_18153_2.jpg,1.23,1.0,0.99,1.0,0.7692,21,onion
cropped_18153_3.jpg,0.81,1.0,0.69,0.32,0.7619,21,onion
cropped_16725_1.jpg,1.51,1.0,0.51,0.1,0.6992,21,helmet
cropped_16725_2.jpg,0.94,1.0,0.56,0.23,0.7146,21,helmet
cropped_16725_3.jpg,1.9,1.0,0.53,0.15,0.6757,21,helmet
cropped_08239_1.jpg,0.95,1.0,0.99,0.99,0.7777,19,onion
cropped_08239_2.jpg,0.5,1.0,0.59,0.19,0.6766,19,onion
cropped_08239_3.jpg,0.54,1.0,0.67,0.33,0.6691,19,onion
cropped_50389_1.jpg,1.12,1.0,0.99,1.0,0.7755,21,helmet
cropped_50389_2.jpg,2.21,1.0,0.76,0.4,0.6637,21,helmet
cropped_50389_3.jpg,1.36,1.0,0.99,1.0,0.7575,21,helmet
cropped_10671_1.jpg,0.93,1.0,0.67,0.17,0.727,20,onion
cropped_10671_2.jpg,0.98,1.0,0.66,0.17,0.7727,20,onion
cropped_10671_3.jpg,0.6,1.0,0.74,0.25,0.738,20,onion
cropped_12153_1.jpg,0.6,1.0,0.61,0.15,0.7087,21,onion
cropped_12153_2.jpg,0.61,1.0,0.54,0.12,0.6861,21,onion
cropped_12153_3.jpg,0.54,1.0,0.55,0.17,0.628,21,onion
cropped_28367_1.jpg,0.84,1.0,0.43,0.16,0.6422,21,helmet
cropped_11927_1.jpg,0.57,1.0,0.61,0.21,0.6827,21,onion
cropped_11927_2.jpg,0.56,1.0,0.64,0.25,0.6835,21,onion
cropped_11927_3.jpg,0.58,1.0,0.64,0.25,0.6891,21,onion
cropped_12127_1.jpg,0.43,1.0,0.59,0.18,0.58,21,onion
cropped_12127_2.jpg,0.88,1.0,0.71,0.6,0.7903,21,onion
cropped_12127_3.jpg,0.4,1.0,0.56,0.14,0.5752,21,onion
cropped_19641_1.jpg,0.75,1.0,0.64,0.14,0.7541,21,onion
cropped_19641_2.jpg,0.95,1.0,0.76,0.33,0.7868,21,onion
cropped_19641_3.jpg,1.1,1.0,0.72,0.26,0.7779,21,onion
cropped_07626_1.jpg,1.57,1.0,0.73,0.5,0.7342,20,onion
cropped_07626_2.jpg,0.32,1.0,0.73,0.58,0.4957,20,onion
cropped_07626_3.jpg,1.0,1.0,0.61,0.3,0.7532,20,onion
cropped_04595_1.jpg,0.66,1.0,0.61,0.16,0.7432,19,onion
cropped_04595_2.jpg,0.96,1.0,0.81,0.65,0.7856,19,onion
cropped_04595_3.jpg,0.71,1.0,0.72,0.32,0.7596,19,onion
cropped_43777_1.jpg,0.69,1.0,0.58,0.15,0.7472,20,onion
cropped_43777_2.jpg,0.55,1.0,0.65,0.28,0.6616,20,onion
cropped_12106_1.jpg,1.17,1.0,0.61,0.14,0.7434,20,onion
cropped_12106_2.jpg,2.31,1.0,0.82,0.53,0.66,20,onion
cropped_12106_3.jpg,1.2,1.0,0.61,0.12,0.7346,20,onion
cropped_12139_1.jpg,0.6,1.0,0.72,0.3,0.7275,21,onion
cropped_12139_2.jpg,0.94,1.0,0.65,0.18,0.7761,21,onion
cropped_12139_3.jpg,0.37,1.0,0.7,0.43,0.5448,21,onion
cropped_04583_1.jpg,1.12,1.0,0.65,0.21,0.7603,21,helmet
cropped_04583_2.jpg,1.8,1.0,0.99,1.0,0.7061,21,helmet
cropped_04583_3.jpg,0.71,1.0,0.57,0.16,0.6865,21,helmet
cropped_00151_1.jpg,1.11,1.0,0.56,0.22,0.7223,15,helmet
cropped_00151_2.jpg,1.12,1.0,0.57,0.24,0.7265,15,helmet
cropped_00151_3.jpg,1.18,1.0,0.55,0.22,0.723,15,helmet
cropped_05899_1.jpg,1.2,1.0,0.72,0.33,0.7776,18,onion
cropped_05899_2.jpg,0.48,1.0,0.66,0.4,0.6059,18,onion
cropped_05899_3.jpg,0.47,1.0,0.66,0.4,0.6056,18,onion
cropped_62596_1.jpg,0.7,1.0,0.65,0.21,0.7366,21,onion
cropped_62596_2.jpg,0.8,1.0,0.68,0.24,0.7712,21,onion
cropped_62596_3.jpg,0.89,1.0,0.69,0.25,0.7773,21,onion
cropped_05165_1.jpg,1.53,1.0,0.54,0.1,0.7094,19,helmet
cropped_05165_2.jpg,0.93,1.0,0.49,0.1,0.7059,19,helmet
cropped_05165_3.jpg,2.06,1.0,0.98,0.99,0.6719,19,helmet
cropped_35285_1.jpg,0.47,1.0,0.71,0.42,0.6145,21,onion
cropped_35285_2.jpg,0.75,1.0,0.99,0.99,0.7602,21,onion
cropped_35285_3.jpg,0.64,1.0,0.97,0.99,0.7403,21,onion
cropped_11437_1.jpg,0.61,1.0,0.63,0.17,0.708,20,onion
cropped_11437_2.jpg,0.81,1.0,0.65,0.29,0.7446,20,onion
