height,width,length,weight,is_painting_hint,is_icon_hint,is_coin_hint,is_doc_hint,target_label
180.0,120.0,28.75,0.0,1,0,0,0,0
180.0,60.0,28.75,0.0,1,0,0,0,0
180.0,60.0,28.75,0.0,1,0,0,0,0
150.0,100.0,28.75,0.0,1,1,0,0,0
80.0,60.0,28.75,0.0,1,1,0,0,0
80.0,60.0,28.75,0.0,1,1,0,0,0
48.0,79.0,28.75,0.0,1,0,0,0,0
1920.0,1600.0,33.0,0.0,0,0,0,0,1
260.0,260.0,70.0,22.8,0,0,1,0,3
16.3,9.200000000000001,16.0,0.0,1,0,0,1,1
3100.0,2150.0,21.0,999.0,1,1,0,0,2
260.0,260.0,70.0,22.8,0,0,1,1,3
260.0,260.0,70.0,22.8,0,0,0,1,3
1900.0,2900.0,29.0,0.0,0,0,0,0,0
1300.0,2500.0,25.0,0.0,0,0,0,0,0
2050.0,2050.0,20.0,0.0,1,0,0,0,0
2000.0,1250.0,12.0,0.0,0,0,0,1,1
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
260.0,260.0,70.0,22.8,0,0,1,0,3
1920.0,1600.0,33.0,0.0,0,0,1,0,1
260.0,260.0,70.0,22.8,0,0,1,0,3
87.0,61.0,28.75,0.0,1,0,0,0,0
70.0,48.0,28.75,0.0,1,0,0,0,0
29.0,32.0,28.0,999.0,0,0,1,0,2
31.0,32.0,28.0,999.0,0,1,1,0,2
31.0,32.0,28.0,999.0,0,1,1,0,2
31.0,32.0,28.0,999.0,0,1,1,0,2
36.0,32.0,28.0,999.0,0,1,1,0,2
1920.0,1600.0,33.0,0.0,1,0,0,1,1
1920.0,1600.0,33.0,0.0,1,0,0,0,1
47.5,49.5,28.75,0.0,1,0,0,0,0
47.5,49.5,28.75,0.0,0,0,0,0,0
47.5,49.5,28.75,0.0,0,0,0,0,0
47.5,49.5,28.75,0.0,0,0,0,0,0
47.5,49.5,28.75,0.0,1,0,0,0,0
